Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",14.060000,-0.320000,270.000000,bottom
"C2","CL10B105KA8NNNC","Samsung-CL10-0-0-IPC_C",15.097000,-0.920000,90.000000,bottom
"C3","06035A100JAT2A","AVX-GRM124-0-0-IPC_C",14.310000,-0.695000,90.000000,bottom
"C4","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",15.181500,-0.920000,90.000000,bottom
"C5","CL10B103KB8NNNC","Samsung-0603_1608_Metric-0-0-0",15.266000,-0.920000,90.000000,bottom
"C6","06035A100JAT2A","AVX-GRM124-0-0-IPC_C",14.185000,-0.575000,0.000000,bottom
"C7","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",14.222545,-0.817545,315.000000,bottom
"C11","CL10B474KA8NFNC","CAPC1608X90N",1.340000,-0.990000,270.000000,bottom
"C12","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",1.275000,-1.000000,270.000000,bottom
"C13","CL10B474KA8NFNC","CAPC1608X90N",1.275000,-0.450000,90.000000,bottom
"C14","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",1.335000,-0.450000,90.000000,bottom
"C15","CL10B474KA8NFNC","CAPC1608X90N",1.470000,-0.690000,90.000000,bottom
"C16","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",1.535000,-0.690000,90.000000,bottom
"C17","TAJB226K016RNJ","CAPPC3528X210N",1.670000,-0.650000,90.000000,bottom
"C18","TAJB226K016RNJ","CAPPC3528X210N",13.450000,-3.220000,180.000000,bottom
"C19","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",13.240000,-3.550000,180.000000,bottom
"C20","CL10B474KA8NFNC","CAPC1608X90N",13.240000,-3.610000,180.000000,bottom
"C21","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",13.540000,-3.425000,0.000000,bottom
"C22","CL10B474KA8NFNC","CAPC1608X90N",13.540000,-3.365000,0.000000,bottom
"C23","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",13.810000,-3.595000,0.000000,bottom
